Epoch,trainLoss,testLoss
1,0.0035,0.0011
2,0.0009,0.0007
3,0.0008,0.0014
4,0.0006,0.0006
5,0.0004,0.0010
6,0.0004,0.0003
7,0.0004,0.0006
8,0.0004,0.0003
9,0.0004,0.0004
10,0.0004,0.0005
11,0.0003,0.0002
12,0.0003,0.0003
13,0.0003,0.0003
14,0.0003,0.0003
15,0.0003,0.0002
16,0.0003,0.0002
17,0.0003,0.0002
18,0.0004,0.0002
19,0.0003,0.0004
20,0.0003,0.0002
21,0.0003,0.0002
22,0.0002,0.0002
23,0.0002,0.0002
24,0.0003,0.0002
25,0.0003,0.0005
26,0.0003,0.0002
27,0.0003,0.0002
28,0.0003,0.0004
29,0.0003,0.0003
30,0.0002,0.0002
31,0.0002,0.0002
32,0.0002,0.0001
33,0.0003,0.0005
34,0.0002,0.0001
35,0.0002,0.0002
36,0.0002,0.0004
37,0.0002,0.0002
38,0.0002,0.0006
39,0.0002,0.0002
40,0.0002,0.0002
41,0.0002,0.0003
42,0.0002,0.0003
43,0.0002,0.0001
44,0.0002,0.0002
45,0.0002,0.0002
46,0.0002,0.0001
47,0.0003,0.0002
48,0.0002,0.0002
49,0.0002,0.0002
50,0.0002,0.0004
51,0.0002,0.0002
52,0.0002,0.0001
53,0.0002,0.0003
54,0.0002,0.0001
55,0.0002,0.0002
56,0.0002,0.0004
57,0.0002,0.0002
58,0.0002,0.0001
59,0.0002,0.0004
60,0.0002,0.0001
61,0.0002,0.0002
62,0.0002,0.0001
63,0.0002,0.0002
64,0.0002,0.0002
65,0.0002,0.0002
66,0.0002,0.0002
67,0.0002,0.0003
68,0.0002,0.0001
69,0.0002,0.0001
70,0.0002,0.0002
71,0.0002,0.0002
72,0.0002,0.0002
73,0.0002,0.0002
74,0.0002,0.0002
75,0.0002,0.0002
76,0.0002,0.0001
77,0.0002,0.0002
78,0.0002,0.0002
79,0.0002,0.0001
80,0.0002,0.0002
81,0.0002,0.0003
82,0.0002,0.0003
83,0.0002,0.0002
84,0.0001,0.0002
85,0.0002,0.0001
86,0.0002,0.0001
87,0.0002,0.0001
88,0.0002,0.0002
89,0.0002,0.0002
90,0.0002,0.0002
91,0.0002,0.0002
92,0.0002,0.0001
93,0.0002,0.0001
94,0.0001,0.0001
95,0.0002,0.0002
96,0.0002,0.0001
97,0.0002,0.0001
98,0.0002,0.0001
99,0.0002,0.0001
100,0.0002,0.0002
