Epoch,trainLoss,testLoss
1,0.0045,0.0039
2,0.0037,0.0037
3,0.0034,0.0033
4,0.0032,0.0032
5,0.0032,0.0029
6,0.0032,0.0030
7,0.0032,0.0032
8,0.0032,0.0031
9,0.0031,0.0031
10,0.0031,0.0031
11,0.0030,0.0029
12,0.0031,0.0030
13,0.0030,0.0029
14,0.0030,0.0028
15,0.0030,0.0030
16,0.0030,0.0029
17,0.0030,0.0030
18,0.0030,0.0029
19,0.0030,0.0029
20,0.0030,0.0029
21,0.0030,0.0030
22,0.0030,0.0029
23,0.0030,0.0028
24,0.0030,0.0028
25,0.0030,0.0028
26,0.0030,0.0030
27,0.0030,0.0028
28,0.0030,0.0028
29,0.0029,0.0029
30,0.0029,0.0029
31,0.0030,0.0027
32,0.0030,0.0028
33,0.0029,0.0029
34,0.0030,0.0027
35,0.0030,0.0028
36,0.0030,0.0030
37,0.0030,0.0027
38,0.0029,0.0028
39,0.0029,0.0029
40,0.0029,0.0027
41,0.0029,0.0028
42,0.0030,0.0030
43,0.0029,0.0026
44,0.0029,0.0029
45,0.0029,0.0028
46,0.0029,0.0030
47,0.0029,0.0029
48,0.0029,0.0030
49,0.0030,0.0029
50,0.0029,0.0029
51,0.0030,0.0028
52,0.0029,0.0029
53,0.0029,0.0028
54,0.0029,0.0028
55,0.0029,0.0028
56,0.0029,0.0028
57,0.0029,0.0027
58,0.0029,0.0027
59,0.0029,0.0027
60,0.0029,0.0027
61,0.0028,0.0028
62,0.0029,0.0028
63,0.0029,0.0027
64,0.0029,0.0028
65,0.0029,0.0026
66,0.0029,0.0028
67,0.0029,0.0026
68,0.0029,0.0026
69,0.0029,0.0028
70,0.0029,0.0027
71,0.0029,0.0027
72,0.0029,0.0028
73,0.0029,0.0029
74,0.0029,0.0027
75,0.0029,0.0028
76,0.0029,0.0027
77,0.0029,0.0029
78,0.0029,0.0029
79,0.0029,0.0027
80,0.0029,0.0028
81,0.0029,0.0027
82,0.0029,0.0027
83,0.0029,0.0028
84,0.0029,0.0028
85,0.0029,0.0028
86,0.0029,0.0028
87,0.0029,0.0028
88,0.0029,0.0028
89,0.0029,0.0028
90,0.0029,0.0027
91,0.0029,0.0027
92,0.0029,0.0028
93,0.0029,0.0028
94,0.0029,0.0028
95,0.0029,0.0026
96,0.0029,0.0028
97,0.0029,0.0028
98,0.0029,0.0028
99,0.0029,0.0028
100,0.0029,0.0027
