Epoch,trainLoss,testLoss
1,0.0036,0.0017
2,0.0013,0.0015
3,0.0011,0.0010
4,0.0009,0.0011
5,0.0010,0.0009
6,0.0008,0.0009
7,0.0008,0.0006
8,0.0008,0.0011
9,0.0007,0.0008
10,0.0007,0.0009
11,0.0007,0.0005
12,0.0008,0.0011
13,0.0007,0.0007
14,0.0007,0.0008
15,0.0007,0.0007
16,0.0008,0.0007
17,0.0006,0.0008
18,0.0006,0.0011
19,0.0007,0.0006
20,0.0006,0.0006
21,0.0006,0.0007
22,0.0006,0.0005
23,0.0006,0.0005
24,0.0006,0.0004
25,0.0005,0.0006
26,0.0006,0.0007
27,0.0005,0.0006
28,0.0007,0.0008
29,0.0007,0.0006
30,0.0006,0.0008
31,0.0006,0.0005
32,0.0006,0.0006
33,0.0006,0.0006
34,0.0007,0.0008
35,0.0006,0.0007
36,0.0005,0.0006
37,0.0006,0.0009
38,0.0006,0.0006
39,0.0005,0.0005
40,0.0006,0.0006
41,0.0006,0.0007
42,0.0006,0.0005
43,0.0007,0.0006
44,0.0006,0.0008
45,0.0006,0.0009
46,0.0006,0.0005
47,0.0006,0.0006
48,0.0005,0.0006
49,0.0005,0.0004
50,0.0006,0.0007
51,0.0006,0.0007
52,0.0005,0.0005
53,0.0006,0.0005
54,0.0006,0.0006
55,0.0005,0.0008
56,0.0006,0.0007
57,0.0006,0.0005
58,0.0005,0.0006
59,0.0005,0.0005
60,0.0005,0.0009
61,0.0005,0.0007
62,0.0006,0.0005
63,0.0006,0.0007
64,0.0005,0.0006
65,0.0006,0.0008
66,0.0006,0.0005
67,0.0006,0.0005
68,0.0005,0.0006
69,0.0005,0.0005
70,0.0005,0.0005
71,0.0005,0.0007
72,0.0006,0.0008
73,0.0005,0.0007
74,0.0006,0.0004
75,0.0005,0.0007
76,0.0005,0.0005
77,0.0005,0.0006
78,0.0005,0.0006
79,0.0005,0.0005
80,0.0006,0.0007
81,0.0005,0.0004
82,0.0005,0.0004
83,0.0006,0.0005
84,0.0005,0.0006
85,0.0005,0.0007
86,0.0005,0.0008
87,0.0006,0.0004
88,0.0005,0.0006
89,0.0006,0.0010
90,0.0006,0.0008
91,0.0005,0.0006
92,0.0005,0.0005
93,0.0005,0.0005
94,0.0005,0.0006
95,0.0005,0.0005
96,0.0006,0.0008
97,0.0005,0.0007
98,0.0005,0.0006
99,0.0005,0.0006
100,0.0006,0.0005
